Modules,模块
My Settings,个人设置
Session Defaults,会话默认值
Reload,重新加载
View Website,查看网站
Toggle Full Width,切换全宽
Toggle Theme,切换界面样式
Background Jobs,后台任务
Logout,登出
Help,帮助
Documentation,在线文档
User Forum,用户论坛
Report an Issue,报告一个问题
About,关于
Keyboard Shortcuts,键盘快捷键
Global Shortcuts,全局快捷键
Trigger Primary Action,触发主操作
Open Awesomebar,打开搜索/命令框
Navigate Home,返回主界面
Open Settings,打开设置界面
Show Keyboard Shortcuts,显示快捷键
Open Help,打开帮助界面
Clear Cache and Reload,清缓存重新加载数据
Switch Theme,切换界面样式
Press Alt Key to trigger additional shortcuts in Menu and Sidebar,按Alt键触发菜单与左边栏其它快捷键
Notifications,通知
Today's Events,今日事件
DocType View,单据类型视图
Report Builder,报表生成器
Which view of the associated DocType should this shortcut take you to?,此快捷方式跳转至单据类型的哪个视图
For Example: {} Open,例如： {} 进行中
No filters selected,未选择过滤条件
Edit Shortcut,编辑快捷方式
Add Chart,添加图表
No filters found,无数据
Attachments,附件
Shared With,分享
Add a tag ...,添加标签 ...
Share this document with,分享给
Can Read,允许读
Can Write,允许写
Can Submit,允许提交
Can Share,允许分享
Everyone,所有人
Add,添加
Add a comment,添加评论
Edit,编辑
Add Multiple,添加多行
Add Row,添加一行
Download,下载
Upload,上传
No.,序号
Connections,关联
Overview,概览
Login to ERPNext,登录
Don't have an account?,没有账号?
Set Filters for {},为{}设置过滤条件
Attach File,上传文件
Attach,上传
FOLLOW,关注
Follow,关注
Unfollow,取消关注
Select All,全选
Unselect All,全不选
Ctrl+Enter to add comment,Ctrl + Enter 添加评论
New Email,发邮件
Not Saved,尚未保存
Logs,日志
Integrations,集成
Settings,设置
Activity,活动
Desk Theme,界面样式
Light,浅色
Dark,深色
Module Profile,模块集合
No Data,无数据
Me,我
Frappe Light,浅色
Timeless Night,深色
Theme Changed,样式已切换
All Results,全部结果
Jump to field,跳转到指定字段
Print,打印
Rename,修改编号(名称)
Links,链接
New {0},新建 {0}
Enabled,已启用
Refreshing,正在刷新
values separated by commas,用逗号分隔的值
use % as wildcard,使用％作为通配符
Dashboard,数据面板
Subcontracting,委外
You do not have enough review points,没有足够的评审点数
Reviews,评审
Send SMS,发短信
Mobile Number,手机号
Send,发送
Repeat,自动重复
Frequency,频率
Start Date,开始日期
End Date,结束日期
Drag and drop files here or upload from,拖拽文件到这里或通过以下途径上传
My Device,我的设备
Library,库
Link,链接
Toggle Private,将上传文件设为仅当前帐号可见
Insert Above,当前行前插入
Insert Below,当前行后插入
Editing Row,编辑行
Submit this document to confirm,点提交按钮进行确认
Select {0},选择{0}
Make {0},新建{0}
Get Items,选物料
Purchase Receipts,采购收货
changed value of {0},变更了{0}
changed values for {0},变更了{0}
submitted this document,提交这份文件
Menu,菜单
Refresh,刷新
Reset Chart,重置图表
Set,设置
Last synced {0},最近同步 {0}
{0} minutes ago,{0}分钟前
{0} hours ago,{0}小时前
{0} years ago,{0}年前
{0} month ago,{0}个月前
1 month ago,1个月前
{0} months ago,{0}个月前
{0} seconds ago,{0}秒钟前
{0} weeks ago,{0}周前
{0} day ago,一天前
{0} h,{0}小时
1 hour ago,一小时前
just now,刚刚
now,刚刚
Load More,加载更多
ascending,升序
descending,降序
See all Activity,查看所有活动
Mark all as read,全部标为已读
Search for '{0}',搜索“{0}”
Search for {0},搜索“{0}”
Help on Search,如何搜索指南
Duplicate,复制
Expand,展开
Collapse,收起
Context,上下文
Find {0} in {1},在{1}中搜索{0}
Next Document,下一个
Previous Document,上一个
Copied to clipboard.,已复制到剪贴板
Quality,质量
Tools,工具
List,列表
Report View,报表视图
Select {0},选择{0}
New Kanban Board,新建看板
Choose Kanban Board,选择看板
"For comparison, use >5, <10 or =324. For ranges, use 5:10 (for values between 5 & 10).","过滤条件可以用>,<,= 比较符，两个值之间用：表示范围， 如>5, <10, =20, 5:10"
{0} of {1}, {0} / {1}
Recents,最近
Searching,搜索中
Searching ...,搜索中 ...
Search results for,搜索...
Search...,搜索中...
Nothing to show,无数据
Execution Time: {0} sec,运行时间：{0}秒
Execution Time:,系统用时：
Setup Auto Email,设置电子邮件自动发送
Export,导出
"For multiple addresses, enter the address on different line. e.g. test@test.com
test1@test.com",多行地址，每行一个地址
No Report Found,无报表
Create New Board,创建新看板
Show Totals,显示总计
Save As,另存为
Pick Columns,选择报表输出字段
Toggle Chart,切换图表
Configure Chart,配置图表
X Axis Field,X轴字段
Y Axis Field,Y轴字段
Showing only Numeric fields from Report,仅显示来自报表的数字字段
{0} m,{0} 分
{0}m,{0} 分
{0} d,{0} 天
{0}d,{0} 天
{0} w,{0} 周
{0}w,{0} 周
{0}h,{0} 小时
{0}	h,{0} 小时
{0} hours ago,{0} 小时前
{0} has been successfully added to the Email Group.,{0} 已经被成功的加入到邮件组之中。
{0} added,{0} 成功添加
{0} M,{0} 月
{0}M,{0} 月
Edit in full page,在常规界面编辑
Primary Contact Details,首选联系方式
Primary Address Details,首选地址信息
Address Line 1,详细地址1
Address Line 2,详细地址2
ZIP Code,邮编
City,城市
No contacts added yet.,未添加联系人
No address added yet.,未添加地址。
New Address,新建地址
New Contact,新建联络人
New Event,新事件
Add Attachment,添加附件
+ Add Attachment,+ 添加附件
Select Attachments,选择附件
Summary,摘要
Reference,参考
Public,公开
Select File Format,选择文件格式
Export Report:,导出报表:
Export Report: {0},导出报表 {0}
Set Chart,设置图表
Add Chart to Dashboard,添加图表至数据面板
Create Card,创建数字卡
Add to Dashboard,添加到数据面板
Select Dashboard,选择数据面板
Card Label,数字卡标签
Field,字段
Press Enter to save,按Enter键保存
Is Global,全局有效？
Hide Tags,隐藏标签
Dashboard View,数据面板视图
Customize Dashboard,设置数据面板
Reset Dashboard Customizations,重置数据面板设置
No {0} found,无满足条件的 {0}
No {0} Found,无满足条件的 {0}
More,更多
Finished,已完成
Stats,统计
Total Outstanding,总未付
Total Outstanding Amt,总未付金额
Total Outstanding: {0},总未付：{0}
Total Unpaid: {0},总未付：{0}
Annual Billing: {0},本年总发票金额：{0}
{0} from {1} to {2}, {0} 由 {1} 变更为 {2}
{0} from {1} to {2} in row #{3},第{3}行的 {0} 由 {1} 变更为 {2}
Select Field,选择字段
Go,确认
From Document Type,单据类型
Insert After,在后边插入
Reference,参考
Login to {0},登录系统
Reqd by date,需求日期
Move,移动
Select or drag across time slots to create a new event.,选择或拖动一个时间范围，创建新事件。
Calendar,日历
Gannt,甘特图
Hide Weekends,隐藏周末
Show Weekends,显示周末
Document Status,单据状态
Last Updated By,最后更新人
Last Updated On,最后更新日期
Comments,评论
Liked By,谁喜欢
Delete,删除
Please set filters,请设置过滤条件
Add Column,添加列
Function,函数
Total,总计
Save,保存
Cancel,取消
Submit,提交
Search Help,搜索说明
Create a new record,新增一笔记录
List a document type,显示单据类型列表
Search in a document type,在单据类型中搜索
Open a module or tool,打开一个模块或工具
Calculate,计算
"document type..., e.g. customer",单据类型，如客户
text in document type,单据类型中的搜索关键字
"tag name..., e.g. #tag",标签名，如#我的标签
module name...,模块名...
new type of document,new 单据类型，例如:new 采购订单
commented,发表了评论
You,你
{0} submitted this document {1},{0}提交了单据{1}
{0} submitted this document,{0}提交了此单据
{0} cancelled this document {1},{0}取消了单据{1}
{0} cancelled this document,{0}取消了此单据
{0} changed value of {1} {2},{0}变更了{1}{2}
{0} changed value of {1},{0}变更了{1}
Conversion Factor,转换系数
Update,更新
No changes in document,未做任何修改
New,新建
Set all private,设为私有
Set all public,设为公开
Assign to me,分派给自己
Assign To,分派给
Complete By,完成人
Priority,优先级
Low,低
Medium,中
High,高
Create a new {0},新建{0}
Filters applied for {0},过滤条件：{0}
Permanently Submit {0}?,正式提交{0}?
This is a background report. Please set the appropriate filters and then generate a new one.,这是一个需后台运算获取数据的报表，请设置恰当的过滤条件并据此生成新报表
Add Group,添加分组
Select Group By...,选择分组字段
Advanced Search,高级过滤
Confirm,确认
Hide Saved,隐藏已保存过滤
First,首页
Last,尾页
To,收件人
CC,抄送
BCC,暗送
Message,消息
Select Print Format,选择打印格式
Send me a copy,抄送给自己
Send Read Receipt,发送已读回执
Attach Document Print,添加单据打印内容附件
Subject,主题
Select Languages,选择语言
{0} days ago,{0}天前
{0} minute ago,{0}分钟前
Change,变更
Generate New Report,生成新报表
Rebuild,重新生成
Download Report,下载报表
The resource you are looking for is not available,单据不存在
Not found,未找到
Removed page customizations,页面定制已移除
No Upcoming Events,无待处理事件
There are no upcoming events for you.,你没有待处理事件
Theme Changed,主题已变更
Expand All,全部展开
Collapse All,全部折叠
Dimension,维度
Actions,操作
Add Tags,添加标签
Apply Assignment Rule,应用分派规则
Kanban Board Name,看板名称
Columns based on,看板字段
Select Kanban,选择看板
Archive,归档
Kanban View,看板视图
Gantt View,甘特图
Gantt,甘特图
Tree,树
Token Cache,令牌缓存
No Stock Available Currently,无可用库存
Sales Order has been submitted successfully,销售订单已成功提交
Communication,沟通
Add to ToDo,新增待办事项
Assigning...,分派中...
Mandatory fields required in {0},{0}中有必填字段
"Mandatory fields required in table {0}, Row {1}",表{0}第{1}行有必填字段
Chart Preview,图表预览
Preview Chart,预览图表
Type of Chart,图表类型
Choose a color,选择颜色
Create Chart,新建图表
Y axis,Y 轴
X axis,X 轴
Y Field,Y轴字段
X Field,X轴字段
No Data...,无数据...
Filters saved,过滤已保存
Shortcuts,快捷方式
Image View,图片视图
Create your first {0},新建 {0}
You haven't created a {0} yet, 暂无数据 {0}
Set up your Warehouse,设置仓库
Awesome Work,干得漂亮
You can continue with the onboarding after exploring this page,可继续其它初始化步骤
Introduction to Buying,采购功能简介
Watch Video,观看视频
Watch Tutorial,观看教程
Introduction to Selling,销售功能简介
Introduction to Assets,资产功能简介
Introduction to Website,网站功能简介
Introduction to CRM,客户关系管理功能简介
Create a Warehouse,新建仓库
Create Department,新建部门
Create Entry,新增
Create Employee,新建员工
"# Chart Of Accounts

The Chart of Accounts is the blueprint of the accounts in your organization.
It is a tree view of the names of the Accounts (Ledgers and Groups) that a Company requires to manage its books of accounts. ERPNext sets up a simple chart of accounts for each Company you create, but you can modify it according to your needs and legal requirements.

For each company, Chart of Accounts signifies the way to classify the accounting entries, mostly
based on statutory (tax, compliance to government regulations) requirements.

There's a brief video tutorial about chart of accounts in the next step.","# 科目表

科目表是贵公司账务处理的蓝图

科目表是一种树形结构(台账与科目组），本系统在新建公司时会自动创建一个简单的科目表，用户可根据相关法律法规要求修改科目表

请观看以下科目表简介教程以了解更多细节"
Go to Page,进入页面
Error,错误
Missing Fields,缺失必须字段信息
With Letter head,打印表头
Orientation,打印格式
Select Columns,选择字段
Landscape,横向
Portrait,竖向
Report with more than 10 columns looks better in Landscape mode.,超过10列的报表横向打印会更好看
Compact Item Print,物料信息紧凑显示
Print UOM after Quantity,计量单位在数量之后
Print taxes with zero amount,0税率也打印
No Letterhead,无表头
Show Absolute Values,显示绝对值
"If checked, negative numeric values of Currency, Quantity or Count would be shown as positive",如勾选，金额，数量为负数会被显示为正数
No Results found,无搜索结果
Version Updated,版本已更新
The application has been updated to a new version, please refresh this page,应用已更新至新版本，请刷新本页
Internal Server Error,内部服务器错误
Accounting Ledger,会计凭证
Add Serial No,添加序列号,
{0} items selected,已选{0}条记录
Delete {0} items permanently?,彻底删除{0}条记录？
{0} values selected,已选择{0}个值
Sales Order has been submitted successfully,销售订单已成功提交
From,自
To,至
Please specify,请先输入
It is needed to fetch Item Details.,以获取物料详细信息。
{0} already exists. Select another name,{0}已存在。选择其他名称,
Status,状态
Details,详情
Add Child,添加子项
Rebuild Tree,重新生成树形结构
Chart of Accounts,科目表
View List,查看列表
View,查看
Create,新建
Index,索引
Copy to Clipboard,复制到剪贴板
Reference,参考
Create New Kanban Board,新建看板
Add Task,新建任务
since yesterday,最近更新：昨天
since last week,最近更新：上周
since last month,最近更新：上月
since last year,最近更新：去年
Merge with existing,与现有合并
Permanently Cancel {0}?,取消{0} ？
Permanently delete {0}?,彻底删除{0} ？
Cancel {0} documents?,取消{0}笔单据？
Amend,修订
Accounting Dimension <b>{0}</b> is required for 'Balance Sheet' account {1}.,请为资产科目{1}输入会计维度<b>{0}</b>
Accounting Dimension <b>{0}</b> is required for 'Profit and Loss' account {1}.,请为损益科目{1}输入会计维度<b>{0}</b>
Not permitted,未被授权
Not Descendants Of,非子节点
Not Ancestors Of,非父节点
Descendants Of,子节点
Ancestors Of,父节点
Request Timed Out,服务器超时
Delete All,全部删除
Cancelled,已取消
This cannot be undone,此操作不可撤销
New Name,新名称编号
Rename {0},重命名{0}
Are you sure you want to delete all rows?,确认删除全部?
See on Website,在门户网站查看
Reload File,重新加载数据
Successfully imported {0},成功导入{0}
Successfully imported {0} records.,成功导入{0}笔记录
Successfully imported {0} record.,成功导入{0}笔记录
"Successfully imported {0} records out of {1}. Click on Export Errored Rows, fix the errors and import again.","从{1}笔资料中成功导入了{0}笔，请点击出错的资料行，修正错误数据，重新点导入"
"Successfully imported {0} record out of {1}. Click on Export Errored Rows, fix the errors and import again.","从{1}笔资料中成功导入了{0}笔，请点击出错的资料行，修正错误数据，重新点导入"
"Successfully updated {0} records out of {1}. Click on Export Errored Rows, fix the errors and import again.","从{1}笔资料中成功修改了{0}笔，请点击出错的资料行，修正错误数据，重新点导入"
"Successfully updated {0} record out of {1}. Click on Export Errored Rows, fix the errors and import again.","从{1}笔资料中成功修改了{0}笔，请点击出错的资料行，修正错误数据，重新点导入"
Clear,清除
Last 6 Months,最近6个月
Yesterday,昨天
Today,今天
Tomorrow,明天
Next Day,下一天
Next Week,下周
Next Month,下个月
Next Year,明年
Next 6 Months,接下来6个月
Between,介于
>,大于
>=,大于等于
<,小于
<=,小于等于
Unseen,未读
Report {0},报表 {0}
"Open {0}","打开 {0}"
You have unsaved changes in this form. Please save before you continue.,表单变更尚未保存，请保存后继续
Beginning with,以此开头
You can use wildcard %,可使用通配符%
Preview,预览
"The Sample Template contains all the required accounts pre filled in the template. You can add more accounts or change existing accounts in the template as per your choice.",样板模板含预定义的科目，可根据需要新增或修改再上传
File Type,文件类型
Template Type,模板类型
Sample Template,样板模板
Blank Template,空白模板
Group Node,组节点
Further nodes can be only created under 'Group' type nodes,其它节点只能创建在组节点之下
{0} {1} is linked with the following submitted documents: {2},{0} {1} 关联了下列已提交单据: {2}
Do you want to cancel all linked documents?,取消所有关联单据?
Cancel All Documents,取消所有单据
Cancel All,全部取消
Select File Type,选择文件类型
Export All {0} rows?,导出全部{0}笔记录
Fetching exchange rates ...,获取汇率...
Hello!,欢迎
The First User: You,第一个用户:你
Select Your Region,选择区域
Will be your login ID,将是您的登录ID
Updating global settings,更新全局设置
Show Form Tour,显示表单向导
Previous,上一个
Next,下一个
Close,关闭
Let's take you back to onboarding,返回模块初始化
Graph,图表
Update Settings,更新设置
"# Account Settings

This is a crucial piece of configuration. There are various account settings in ERPNext to restrict and configure actions in the Accounting module.

The following settings are avaialble for you to configure

1. Account Freezing 
2. Credit and Overbilling
3. Invoicing and Tax Automations
4. Balance Sheet configurations

There's much more, you can check it all out in this step","# 会计设置

此设置比较关键，影响会计模块多个方面

重要的设置项如下

1. 科目冻结
2. 信用额度及超额开发票
3. 发票与自动计税
4. 资产负债表设置

本步骤可查看更多可配置信息"
"# Chart Of Accounts

The Chart of Accounts is the blueprint of the accounts in your organization.
It is a tree view of the names of the Accounts (Ledgers and Groups) that a Company requires to manage its books of accounts. ERPNext sets up a simple chart of accounts for each Company you create, but you can modify it according to your needs and legal requirements.

For each company, Chart of Accounts signifies the way to classify the accounting entries, mostly
based on statutory (tax, compliance to government regulations) requirements.

There's a brief video tutorial about chart of accounts in the next step.","# 科目表

科目表是贵公司账务处理的蓝图

科目表是一种树形结构(台账与科目组），本系统在新建公司时会自动创建一个简单的科目表，用户可根据相关法律法规要求修改科目表

请观看以下科目表简介教程以了解更多细节"
"# All about sales invoice

A Sales Invoice is a bill that you send to your Customers against which the Customer makes the payment. Sales Invoice is an accounting transaction. On submission of Sales Invoice, the system updates the receivable and books income against a Customer Account.

Here's the flow of how a sales invoice is generally created


![Sales Flow](https://docs.erpnext.com/docs/assets/img/accounts/so-flow.png)","# 销售发票

销售发票是你发给客户请求其支持款项的单据。销售发票是会计相关业务，提交销售发票后系统自动生成会计凭证登记应收账款和收入

以下是典型的销售流程"
"# What's a Purchase Invoice?

A Purchase Invoice is a bill you receive from your Suppliers against which you need to make the payment.
Purchase Invoice is the exact opposite of your Sales Invoice. Here you accrue expenses to your Supplier. 

The following is what a typical purchase cycle looks like, however you can create a purchase invoice directly as well.

![Purchase Flow](https://docs.erpnext.com/docs/assets/img/accounts/pi-flow.png)

","# 什么是采购发票
采购发票是供应商发给你，申请向其付款的凭证
采购发票与销售发票方向相反

以下是典型的采购流程，也可以不经采购及收货直接创建采购发票"
"# Setting up Taxes

Any sophisticated accounting system, including ERPNext will have automatic tax calculations for your transactions. These calculations are based on user defined rules in compliance to local rules and regulations.

ERPNext allows this via *Tax Templates*. These templates can be used in Sales Orders and Sales Invoices. Other types of charges that may apply to your invoices (like shipping, insurance etc.) can also be configured as taxes.

For Tax Accounts that you want to use in the tax templates, go to:

`> Accounting > Taxes > Sales Taxes and Charges Template`

You can read more about these templates in our documentation [here](https://docs.erpnext.com/docs/user/manual/en/selling/sales-taxes-and-charges-template)
","# 设置税
复杂的会计系统，包括ERPNext都可以在业务交易中自动计税，自动计税基于用户按当地税法定义的计税规则

ERPNext使用税模费板定义计税规则， 税模板可用于销售订单与销售发票。销售发票上的其它费用如运费、保险费等也可通过税费模板设置

`> 会计 > 税 > 销售税费模板`

更多税费模板内容请参见文档 [这儿](https://docs.erpnext.com/docs/user/manual/en/selling/sales-taxes-and-charges-template)"
"# Review Stock Settings

In ERPNext, the Stock module’s features are configurable as per your business needs. Stock Settings is the place where you can set your preferences for:
- Default values for Item and Pricing
- Default valuation method for inventory valuation
- Set preference for serialization and batching of item
- Set tolerance for over-receipt and delivery of items","# 检查库存设置

库存模块功能可基于业务需求进行设置，典型的可设置项如下
- 物料与价格控制默认值
- 默认库存(成本价)计价方式
- 物料批号与序列号规则
- 超量入、出库容差
"
"# Setup a Warehouse
The warehouse can be your location/godown/store where you maintain the item's inventory, and receive/deliver them to various parties.

In ERPNext, you can maintain a Warehouse in the tree structure, so that location and sub-location of an item can be tracked. Also, you can link a Warehouse to a specific Accounting ledger, where the real-time stock value of that warehouse’s item will be reflected.","# 设置仓库
仓库是存放及收、发物料的地方

仓库是一种树形结构，即可以定义仓库的下层节点，可以为仓库定义相关的库存科目，该仓库的物料移动就会自动记账到对应的存货科目"
